lemma,translit,gloss
βασιλικός,bas-il-ee-kos',"king's, nobleman, royal"
βασκαίνω,bas-kah'-ee-no,bewitch
βαστάζω,bas-tad'-zo,"bear, carry, take up"
βαττολογέω,bat-tol-og-eh'-o,use vain repetitions
βδέλυγμα,bdel'-oog-mah,abomination
βδελυκτός,bdel-ook-tos',abominable
βδελύσσω,bdel-oos'-so,"abhor, abominable"
βεβαίωσις,beb-ah'-yo-sis,confirmation
βεβαιόω,beb-ah-yo'-o,"confirm, (e-)stablish"
βεβηλόω,beb-ay-lo'-o,profane
βελτίον,bel-tee'-on,very well
βιάζω,bee-ad'-zo,"press, suffer violence"
βιαστής,bee-as-tace',violent
βιβλίον,bib-lee'-on,"bill, book, scroll, writing"
βιβλιαρίδιον,bib-lee-ar-id'-ee-on,little book
βιβρώσκω,bib-ro'-sko,eat
βιωτικός,bee-o-tee-kos',"of (pertaining to, things that pertain to) this life"
βιόω,bee-o'-o,live
βλάπτω,blap'-to,hurt
βλάσφημος,blas'-fay-mos,"blasphemer(-mous), railing"
βλέμμα,blem'-mah,seeing
βλέπω,blep'-o,"behold, beware, lie, look (on, to), perceive, regard, see, sight, take heed"
βλαβερός,blab-er-os',hurtful
βλαστάνω,blas-tan'-o,"bring forth, bud, spring (up)"
βλασφημέω,blas-fay-meh'-o,"(speak) blaspheme(-er, -mously, -my), defame, rail on, revile, speak evil"
βλασφημία,blas-fay-me'-ah,"blasphemy, evil speaking, railing"
βλητέος,blay-teh'-os,must be put
βοάω,bo-ah'-o,cry
βοή,bo-ay',cry
βοήθεια,bo-ay'-thi-ah,help
βοηθέω,bo-ay-theh'-o,"help, succor"
βοηθός,bo-ay-thos',helper
βολή,bol-ay',cast
βολίζω,bol-id'-zo,sound
βολίς,bol-ece',dart
βοτάνη,bot-an'-ay,herb
βουλή,boo-lay',"+ advise, counsel, will"
βουλευτής,bool-yoo-tace',counsellor
βουλεύω,bool-yoo'-o,"consult, take counsel, determine, be minded, purpose"
βουνός,boo-nos',hill
βούλημα,boo'-lay-mah,"purpose, will"
βούλομαι,boo'-lom-ahee,"be disposed, minded, intend, list, (be, of own) will (-ing)"
βοῤῥᾶς,bor-hras',north
βοῦς,booce,ox
βρέφος,bref'-os,"babe, (young) child, infant"
βρέχω,brekh'-o,"(send) rain, wash"
βραβεύω,brab-yoo'-o,rule
βραβεῖον,brab-i'-on,prize
βραδυπλοέω,brad-oo-plo-eh'-o,sail slowly
βραδύνω,brad-oo'-no,"be slack, tarry"
βραδύς,brad-ooce',slow
βραδύτης,brad-oo'-tace,slackness
βραχίων,brakh-ee'-own,arm
βραχύς,brakh-ooce',"few words, little (space, while)"
βροντή,bron-tay',thunder(-ing)
βροχή,brokh-ay',rain
βρυγμός,broog-mos',gnashing
βρόχος,brokh'-os,snare
βρύχω,broo'-kho,gnash
βρύω,broo'-o,send forth
βρώσιμος,bro'-sim-os,meat
βρῶμα,bro'-mah,"meat, victuals"
βρῶσις,bro'-sis,"eating, food, meat"
βυθίζω,boo-thid'-zo,"begin to sink, drown"
βυθός,boo-thos',deep
βυρσεύς,boorce-yooce',tanner
βωμός,bo'-mos,altar
βόθυνος,both'-oo-nos,"ditch, pit"
βόρβορος,bor'-bor-os,mire
βόσκω,bos'-ko,"feed, keep"
βότρυς,bot'-rooce,(vine) cluster (of the vine)
βύσσινος,boos'-see-nos,fine linen
βύσσος,boos'-sos,fine linen
βῆμα,bay'-ma,"judgment-seat, set (foot) on, throne"
γάγγραινα,gang'-grahee-nah,canker
γάζα,gad'-zah,treasure
γάλα,gal'-ah,milk
γάμος,gam'-os,"marriage, wedding"
γάρ,gar,"and, as, because (that), but, even, for, indeed, no doubt, seeing, then, therefore, verily, what, why, yet"
γέ,gheh,"and besides, doubtless, at least, yet"
γέεννα,gheh'-en-nah,hell
γέλως,ghel'-os,laughter
γέμω,ghem'-o,be full
γένεσις,ghen'-es-is,"generation, nature(-ral)"
γέννημα,ghen'-nay-mah,"fruit, generation"
γέννησις,ghen'-nay-sis,birth
γένος,ghen'-os,"born, country(-man), diversity, generation, kind(-red), nation, offspring, stock"
γέρων,gher'-own,old
γίνομαι,ghin'-om-ahee,"arise, be assembled, be(-come, -fall, -have self), be brought (to pass), (be) come (to pass), continue, be divided, draw, be ended, fall, be finished, follow, be found, be fulfilled, + God forbid, grow, happen, have, be kept, be made, be married, be ordained to be, partake, pass, be performed, be published, require, seem, be showed, X soon as it was, sound, be taken, be turned, use, wax, will, would, be wrought"
γαββαθά,gab-bath-ah',Gabbatha
